date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,main
5/1/2000,icecream,soda,bagels,dishwashingliquid/detergent,eggs,sugar,waffles,individualmeals,toiletpaper,pasta,sandwichloaves,cheeses,vegetables,handsoap,vegetables,vegetables,ketchup,poultry,dinnerrolls,dishwashingliquid/detergent,coffee/tea,milk,shampoo,ketchup,sandwichloaves,handsoap,bagels,flour,vegetables,pork,,nan,nan,nan,sandwichloaves
6/1/2000,tortillas,pork,shampoo,lunchmeat,pasta,juice,bagels,vegetables,bagels,vegetables,laundrydetergent,yogurt,sugar,waffles,handsoap,handsoap,butter,juice,spaghettisauce,vegetables,flour,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pork
7/1/2000,fruits,all-purpose,aluminumfoil,laundrydetergent,individualmeals,flour,pork,shampoo,sugar,aluminumfoil,shampoo,soap,bagels,toiletpaper,juice,icecream,icecream,sandwichloaves,soap,sugar,papertowels,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sugar
7/1/2000,dinnerrolls,individualmeals,shampoo,ketchup,cereals,sandwichbags,laundrydetergent,vegetables,sandwichloaves,cheeses,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
7/1/2000,icecream,cereals,papertowels,bagels,mixes,lunchmeat,juice,toiletpaper,cheeses,papertowels,papertowels,juice,aluminumfoil,fruits,butter,sandwichloaves,tortillas,spaghettisauce,handsoap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,individualmeals
8/1/2000,sandwichbags,flour,juice,milk,papertowels,cereals,sandwichbags,pasta,soda,dishwashingliquid/detergent,icecream,soap,cheeses,beef,flour,dinnerrolls,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sugar
8/1/2000,handsoap,pasta,individualmeals,spaghettisauce,cereals,sandwichloaves,handsoap,individualmeals,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,milk
8/1/2000,toiletpaper,bagels,shampoo,coffee/tea,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichbags
9/1/2000,laundrydetergent,coffee/tea,eggs,aluminumfoil,beef,juice,flour,sugar,individualmeals,waffles,bagels,vegetables,coffee/tea,spaghettisauce,butter,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,individualmeals
0/1/2000,dishwashingliquid/detergent,yogurt,juice,sugar,soap,sandwichloaves,butter,sandwichloaves,coffee/tea,ketchup,aluminumfoil,dishwashingliquid/detergent,mixes,laundrydetergent,shampoo,cheeses,tortillas,toiletpaper,handsoap,papertowels,beef,individualmeals,toiletpaper,soda,cheeses,vegetables,aluminumfoil,toiletpaper,soap,poultry,aluminumfoil,,nan,nan,shampoo
1/1/2000,fruits,all-purpose,pork,juice,bagels,mixes,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,waffles
1/1/2000,vegetables,cereals,sugar,bagels,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cheeses
1/1/2000,vegetables,aluminumfoil,bagels,vegetables,shampoo,shampoo,vegetables,dishwashingliquid/detergent,cereals,cheeses,flour,lunchmeat,pasta,soda,vegetables,toiletpaper,poultry,coffee/tea,flour,all-purpose,waffles,coffee/tea,milk,yogurt,vegetables,mixes,pasta,dishwashingliquid/detergent,dishwashingliquid/detergent,dishwashingliquid/detergent,,nan,nan,nan,vegetables
1/1/2000,all-purpose,pasta,cheeses,juice,sandwichbags,vegetables,sandwichloaves,coffee/tea,juice,lunchmeat,spaghettisauce,papertowels,handsoap,soap,icecream,individualmeals,ketchup,butter,poultry,cheeses,bagels,all-purpose,ketchup,waffles,soap,,nan,nan,nan,nan,nan,nan,nan,nan,fruits
1/1/2000,sugar,pork,sandwichloaves,tortillas,icecream,all-purpose,yogurt,fruits,pasta,lunchmeat,dishwashingliquid/detergent,juice,vegetables,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bagels
2/1/2000,sandwichloaves,vegetables,coffee/tea,aluminumfoil,vegetables,shampoo,cereals,dinnerrolls,coffee/tea,poultry,butter,juice,papertowels,vegetables,beef,mixes,lunchmeat,bagels,tortillas,aluminumfoil,individualmeals,beef,juice,soda,handsoap,dinnerrolls,flour,poultry,sandwichloaves,sugar,yogurt,,nan,nan,fruits
3/1/2000,pork,pasta,cheeses,fruits,sugar,lunchmeat,laundrydetergent,papertowels,butter,sandwichloaves,icecream,waffles,all-purpose,sandwichbags,lunchmeat,sandwichloaves,poultry,vegetables,shampoo,dinnerrolls,milk,soda,mixes,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,laundrydetergent
3/1/2000,bagels,poultry,pasta,butter,all-purpose,pasta,shampoo,sugar,ketchup,eggs,soda,tortillas,soap,individualmeals,ketchup,butter,mixes,juice,lunchmeat,cereals,waffles,shampoo,shampoo,toiletpaper,poultry,lunchmeat,,nan,nan,nan,nan,nan,nan,nan,pork
3/1/2000,butter,sandwichloaves,spaghettisauce,juice,dinnerrolls,all-purpose,pork,yogurt,vegetables,spaghettisauce,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pasta
4/1/2000,bagels,cheeses,sandwichloaves,toiletpaper,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,flour
5/1/2000,eggs,icecream,pasta,juice,waffles,shampoo,dinnerrolls,soda,vegetables,laundrydetergent,handsoap,waffles,cereals,vegetables,toiletpaper,individualmeals,yogurt,spaghettisauce,icecream,soda,lunchmeat,papertowels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aluminumfoil
5/1/2000,papertowels,individualmeals,dinnerrolls,vegetables,lunchmeat,sugar,soap,eggs,beef,yogurt,soda,sandwichloaves,aluminumfoil,dinnerrolls,soap,cheeses,sandwichloaves,icecream,ketchup,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,soap
5/1/2000,pork,sandwichbags,ketchup,coffee/tea,vegetables,soda,poultry,pasta,all-purpose,coffee/tea,papertowels,individualmeals,vegetables,poultry,flour,aluminumfoil,soap,yogurt,mixes,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichloaves
6/1/2000,mixes,vegetables,soap,handsoap,tortillas,coffee/tea,cheeses,tortillas,cheeses,icecream,tortillas,beef,yogurt,spaghettisauce,soda,eggs,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,lunchmeat
6/1/2000,cheeses,cereals,mixes,laundrydetergent,juice,pork,bagels,sandwichloaves,yogurt,milk,sandwichloaves,spaghettisauce,cereals,individualmeals,eggs,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aluminumfoil
7/1/2000,vegetables,lunchmeat,flour,juice,yogurt,shampoo,spaghettisauce,ketchup,laundrydetergent,dinnerrolls,ketchup,vegetables,shampoo,sugar,flour,sandwichbags,papertowels,pork,vegetables,butter,dinnerrolls,pork,all-purpose,handsoap,sandwichbags,all-purpose,,nan,nan,nan,nan,nan,nan,nan,soap
7/1/2000,lunchmeat,dinnerrolls,shampoo,vegetables,handsoap,mixes,vegetables,pasta,sugar,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
7/1/2000,handsoap,dinnerrolls,handsoap,lunchmeat,laundrydetergent,pasta,aluminumfoil,toiletpaper,cereals,coffee/tea,toiletpaper,vegetables,juice,lunchmeat,soda,pork,fruits,spaghettisauce,laundrydetergent,butter,tortillas,individualmeals,aluminumfoil,toiletpaper,poultry,toiletpaper,toiletpaper,,nan,nan,nan,nan,nan,nan,eggs
8/1/2000,milk,dinnerrolls,beef,coffee/tea,waffles,beef,eggs,sandwichbags,tortillas,vegetables,tortillas,all-purpose,vegetables,yogurt,cheeses,mixes,ketchup,waffles,aluminumfoil,handsoap,handsoap,pork,vegetables,butter,,nan,nan,nan,nan,nan,nan,nan,nan,nan,coffeetea
8/1/2000,sandwichbags,poultry,beef,coffee/tea,mixes,poultry,sandwichloaves,shampoo,icecream,poultry,shampoo,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
8/1/2000,handsoap,fruits,poultry,coffee/tea,sugar,tortillas,soda,individualmeals,tortillas,milk,toiletpaper,soda,poultry,coffee/tea,spaghettisauce,cheeses,flour,lunchmeat,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,milk
8/1/2000,shampoo,waffles,bagels,mixes,shampoo,mixes,beef,dinnerrolls,beef,shampoo,aluminumfoil,individualmeals,sugar,spaghettisauce,juice,tortillas,shampoo,sandwichloaves,sandwichloaves,cheeses,waffles,vegetables,cheeses,individualmeals,pasta,papertowels,beef,juice,papertowels,icecream,aluminumfoil,,nan,nan,cereals
9/1/2000,butter,ketchup,shampoo,juice,mixes,milk,shampoo,tortillas,laundrydetergent,flour,cereals,soap,toiletpaper,butter,coffee/tea,cheeses,soap,soap,butter,sandwichloaves,milk,vegetables,cereals,dinnerrolls,poultry,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,toiletpaper
9/1/2000,handsoap,waffles,laundrydetergent,shampoo,lunchmeat,cheeses,vegetables,handsoap,cereals,vegetables,dishwashingliquid/detergent,soda,spaghettisauce,aluminumfoil,laundrydetergent,flour,poultry,juice,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,butter
0/1/2000,cereals,toiletpaper,waffles,soda,pork,yogurt,pork,all-purpose,toiletpaper,vegetables,spaghettisauce,toiletpaper,vegetables,laundrydetergent,coffee/tea,all-purpose,coffee/tea,eggs,pork,eggs,all-purpose,vegetables,soda,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,butter
0/1/2000,spaghettisauce,sandwichbags,icecream,fruits,soap,cheeses,waffles,tortillas,sugar,toiletpaper,ketchup,beef,beef,poultry,milk,dinnerrolls,dinnerrolls,eggs,soap,papertowels,sandwichbags,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
1/1/2000,waffles,vegetables,beef,fruits,sandwichloaves,ketchup,cheeses,sugar,shampoo,butter,laundrydetergent,poultry,waffles,soap,vegetables,butter,lunchmeat,aluminumfoil,waffles,all-purpose,flour,icecream,dishwashingliquid/detergent,lunchmeat,dishwashingliquid/detergent,papertowels,all-purpose,sugar,shampoo,,nan,nan,nan,nan,soda
2/1/2000,mixes,individualmeals,laundrydetergent,coffee/tea,handsoap,pasta,individualmeals,cereals,spaghettisauce,pasta,cereals,fruits,flour,vegetables,soap,individualmeals,ketchup,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,beef
3/1/2000,aluminumfoil,sandwichbags,all-purpose,shampoo,beef,sandwichloaves,aluminumfoil,icecream,fruits,lunchmeat,all-purpose,bagels,vegetables,sandwichloaves,waffles,pork,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,laundrydetergent
3/1/2000,cereals,beef,flour,sugar,beef,eggs,aluminumfoil,vegetables,pork,soda,mixes,vegetables,ketchup,vegetables,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
4/1/2000,sugar,pasta,sandwichloaves,mixes,butter,pasta,aluminumfoil,tortillas,papertowels,yogurt,coffee/tea,sandwichbags,soda,poultry,aluminumfoil,tortillas,eggs,flour,dishwashingliquid/detergent,sugar,shampoo,vegetables,aluminumfoil,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichbags
5/1/2000,cereals,mixes,cereals,pork,cheeses,poultry,all-purpose,ketchup,dishwashingliquid/detergent,handsoap,beef,ketchup,mixes,icecream,sandwichloaves,butter,dinnerrolls,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
6/1/2000,flour,butter,vegetables,lunchmeat,toiletpaper,tortillas,laundrydetergent,milk,poultry,laundrydetergent,milk,soda,butter,spaghettisauce,bagels,sugar,fruits,icecream,laundrydetergent,aluminumfoil,dinnerrolls,milk,laundrydetergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,flour
7/1/2000,butter,waffles,aluminumfoil,coffee/tea,vegetables,vegetables,mixes,papertowels,juice,tortillas,dinnerrolls,eggs,shampoo,waffles,ketchup,shampoo,soda,mixes,sugar,juice,soap,mixes,vegetables,juice,,nan,nan,nan,nan,nan,nan,nan,nan,nan,pasta
8/1/2000,tortillas,soda,beef,flour,eggs,vegetables,cheeses,lunchmeat,coffee/tea,yogurt,dinnerrolls,icecream,pasta,fruits,fruits,papertowels,dishwashingliquid/detergent,soda,pasta,icecream,poultry,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,dishwashingliquiddetergent
9/1/2000,poultry,eggs,eggs,ketchup,beef,toiletpaper,soda,pork,icecream,handsoap,shampoo,yogurt,fruits,waffles,dinnerrolls,flour,juice,eggs,sugar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,shampoo
0/1/2000,spaghettisauce,shampoo,icecream,waffles,soda,dishwashingliquid/detergent,lunchmeat,soap,juice,all-purpose,vegetables,ketchup,individualmeals,fruits,spaghettisauce,vegetables,individualmeals,cereals,vegetables,sandwichloaves,mixes,soap,cheeses,flour,all-purpose,laundrydetergent,spaghettisauce,vegetables,soda,pasta,laundrydetergent,handsoap,,nan,shampoo
0/1/2000,all-purpose,dishwashingliquid/detergent,soap,vegetables,milk,shampoo,coffee/tea,spaghettisauce,aluminumfoil,icecream,pasta,all-purpose,eggs,tortillas,poultry,sandwichbags,coffee/tea,sugar,icecream,toiletpaper,fruits,shampoo,lunchmeat,papertowels,bagels,tortillas,poultry,beef,all-purpose,,nan,nan,nan,nan,individualmeals
0/1/2000,sandwichloaves,laundrydetergent,icecream,spaghettisauce,milk,vegetables,all-purpose,cereals,handsoap,waffles,cereals,lunchmeat,poultry,milk,dinnerrolls,lunchmeat,sandwichloaves,aluminumfoil,sandwichbags,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,soap
0/1/2000,flour,laundrydetergent,poultry,milk,cheeses,pork,cereals,aluminumfoil,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,milk
1/1/2000,fruits,all-purpose,juice,toiletpaper,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
1/1/2000,laundrydetergent,laundrydetergent,spaghettisauce,beef,cheeses,shampoo,vegetables,waffles,cereals,sandwichbags,pasta,fruits,soap,vegetables,cheeses,vegetables,waffles,waffles,cereals,vegetables,shampoo,sandwichbags,vegetables,handsoap,cheeses,sandwichloaves,handsoap,waffles,soda,icecream,,nan,nan,nan,tortillas
1/2/2000,yogurt,icecream,icecream,toiletpaper,icecream,coffee/tea,sandwichbags,soda,ketchup,aluminumfoil,all-purpose,pork,eggs,waffles,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
2/2/2000,butter,flour,vegetables,bagels,sandwichbags,icecream,sandwichloaves,flour,individualmeals,icecream,cheeses,milk,sandwichbags,poultry,vegetables,soda,cheeses,vegetables,all-purpose,aluminumfoil,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ketchup
3/2/2000,handsoap,shampoo,beef,papertowels,mixes,lunchmeat,pasta,shampoo,handsoap,pasta,milk,toiletpaper,butter,eggs,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cereals
3/2/2000,handsoap,fruits,sandwichloaves,lunchmeat,vegetables,individualmeals,individualmeals,sugar,fruits,cereals,ketchup,laundrydetergent,cheeses,cheeses,poultry,handsoap,sandwichloaves,cheeses,mixes,mixes,beef,handsoap,shampoo,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,individualmeals
3/2/2000,cereals,yogurt,mixes,yogurt,sandwichloaves,handsoap,sugar,mixes,shampoo,all-purpose,pasta,cheeses,flour,poultry,poultry,dishwashingliquid/detergent,all-purpose,cheeses,coffee/tea,individualmeals,spaghettisauce,papertowels,dinnerrolls,bagels,handsoap,handsoap,dinnerrolls,,nan,nan,nan,nan,nan,nan,flour
3/2/2000,lunchmeat,sandwichbags,yogurt,icecream,icecream,individualmeals,sugar,dishwashingliquid/detergent,flour,vegetables,papertowels,fruits,cheeses,vegetables,juice,bagels,cereals,all-purpose,waffles,eggs,eggs,dishwashingliquid/detergent,vegetables,eggs,eggs,shampoo,sandwichbags,sandwichloaves,flour,sandwichbags,vegetables,,nan,nan,papertowels
4/2/2000,milk,yogurt,sugar,laundrydetergent,vegetables,dishwashingliquid/detergent,cereals,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
4/2/2000,soda,ketchup,poultry,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pork
4/2/2000,toiletpaper,all-purpose,vegetables,juice,bagels,cheeses,fruits,vegetables,toiletpaper,shampoo,eggs,butter,shampoo,butter,fruits,sugar,pasta,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tortillas
4/2/2000,pasta,sugar,ketchup,waffles,all-purpose,vegetables,fruits,sandwichbags,sandwichbags,handsoap,dishwashingliquid/detergent,butter,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,beef
5/2/2000,ketchup,milk,cereals,dishwashingliquid/detergent,butter,icecream,laundrydetergent,butter,aluminumfoil,cereals,vegetables,spaghettisauce,handsoap,mixes,ketchup,coffee/tea,bagels,toiletpaper,juice,mixes,pork,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
6/2/2000,vegetables,vegetables,ketchup,yogurt,cheeses,juice,all-purpose,mixes,ketchup,mixes,shampoo,milk,fruits,vegetables,pork,coffee/tea,beef,bagels,sandwichloaves,juice,cheeses,dinnerrolls,vegetables,poultry,aluminumfoil,milk,vegetables,icecream,poultry,aluminumfoil,,nan,nan,nan,sandwichbags
6/2/2000,individualmeals,coffee/tea,lunchmeat,butter,papertowels,pasta,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
7/2/2000,laundrydetergent,yogurt,toiletpaper,tortillas,dinnerrolls,tortillas,tortillas,soap,fruits,sandwichbags,vegetables,dishwashingliquid/detergent,milk,ketchup,soap,tortillas,spaghettisauce,papertowels,coffee/tea,dinnerrolls,eggs,toiletpaper,waffles,beef,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,bagels
7/2/2000,dishwashingliquid/detergent,ketchup,dishwashingliquid/detergent,sugar,mixes,all-purpose,fruits,cereals,icecream,lunchmeat,sugar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
8/2/2000,dishwashingliquid/detergent,fruits,mixes,bagels,beef,icecream,individualmeals,bagels,butter,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
9/2/2000,toiletpaper,butter,lunchmeat,individualmeals,toiletpaper,butter,poultry,cheeses,laundrydetergent,spaghettisauce,waffles,sandwichloaves,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
9/2/2000,all-purpose,papertowels,ketchup,beef,soap,pork,waffles,lunchmeat,cheeses,shampoo,spaghettisauce,pork,poultry,all-purpose,poultry,vegetables,fruits,vegetables,dinnerrolls,pasta,lunchmeat,sandwichbags,sandwichloaves,fruits,butter,individualmeals,,nan,nan,nan,nan,nan,nan,nan,dishwashingliquiddetergent
0/2/2000,vegetables,ketchup,soda,fruits,aluminumfoil,yogurt,bagels,yogurt,milk,eggs,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,papertowels
1/2/2000,soda,bagels,milk,fruits,pasta,spaghettisauce,soap,cheeses,spaghettisauce,juice,fruits,beef,toiletpaper,dishwashingliquid/detergent,flour,sandwichloaves,tortillas,mixes,waffles,toiletpaper,ketchup,sandwichbags,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pork
1/2/2000,all-purpose,vegetables,individualmeals,vegetables,toiletpaper,pork,sandwichbags,papertowels,toiletpaper,shampoo,coffee/tea,shampoo,juice,waffles,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cereals
2/2/2000,soap,cheeses,sandwichloaves,aluminumfoil,bagels,tortillas,individualmeals,handsoap,butter,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,flour
3/2/2000,aluminumfoil,pork,fruits,sandwichbags,poultry,coffee/tea,bagels,handsoap,vegetables,mixes,ketchup,waffles,papertowels,tortillas,waffles,tortillas,beef,ketchup,toiletpaper,eggs,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,dishwashingliquiddetergent
4/2/2000,ketchup,all-purpose,beef,shampoo,sandwichloaves,coffee/tea,ketchup,vegetables,milk,butter,vegetables,pork,yogurt,vegetables,icecream,pasta,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yogurt
5/2/2000,individualmeals,shampoo,beef,sandwichbags,eggs,vegetables,shampoo,sandwichloaves,ketchup,poultry,dishwashingliquid/detergent,beef,lunchmeat,cereals,individualmeals,spaghettisauce,shampoo,sandwichloaves,tortillas,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,milk
6/2/2000,individualmeals,sugar,spaghettisauce,pasta,vegetables,cheeses,cheeses,fruits,fruits,lunchmeat,vegetables,fruits,spaghettisauce,individualmeals,beef,coffee/tea,cereals,beef,dishwashingliquid/detergent,handsoap,tortillas,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,poultry
7/2/2000,beef,aluminumfoil,dishwashingliquid/detergent,eggs,juice,laundrydetergent,beef,soda,laundrydetergent,aluminumfoil,soap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,papertowels
7/2/2000,papertowels,individualmeals,individualmeals,aluminumfoil,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pasta
